BatchSize FP32-Time FP32-FPS FP16-Time FP16-FPS INT8-Time INT8-FPS
1 0.2761005163192749 3.6218693587795685 0.024567494392395018 40.704191645589816 0.0020635128021240234 484.6105141536684
2 0.06168612003326416 32.42220452382971 0.023058867454528807 86.73452865557783 0.005399496555328369 370.4049034027711
3 0.16037156105041503 18.70655857154691 0.017352097034454346 172.88976623650709 0.0029136061668395994 1029.6518569131504
4 0.07123412132263184 56.152865027748405 0.02093050241470337 191.10864711924253 0.00294417142868042 1358.6165401356413
6 0.10750170469284058 55.81306842662178 0.01747103452682495 343.4255705228918 0.0026503968238830566 2263.811949189363
8 0.09253462791442871 86.45412188178885 0.018588266372680663 430.3790272640847 0.0041408085823059085 1931.9898133385843
10 0.06057595014572144 165.08201647591181 0.019030447006225585 525.4737314750735 0.0024144792556762694 4141.679816254668
12 0.05904765605926514 203.2256790676975 0.01932657241821289 620.9067878322538 0.0019026422500610352 6307.018568317322
14 0.06279349803924561 222.9530196143886 0.017389607429504395 805.0785537715269 0.0015231561660766601 9191.440977494218
16 0.057714302539825436 277.2276419516512 0.01756892442703247 910.698891468937 0.0012670397758483888 12627.859286648414
20 0.05866560459136963 340.9152626877082 0.018125691413879395 1103.4061842565293 0.0015559625625610352 12853.779699609879
24 0.05778451681137085 415.33617176975815 0.016997060775756835 1412.0088359177703 0.0014095544815063477 17026.656517988533
32 0.058270676136016844 549.1612955597909 0.018906211853027342 1692.5653985452418 0.00223785400390625 14299.413609709532
40 0.06476712703704834 617.5972569714115 0.01871880769729614 2136.8882381209487 0.0020423054695129393 19585.708698875213
