Iteration Time FPS BandWidth[GB/S] GFLOPS[GB/S] Acc.
0 0.00258872 12361.3 222.504 494.453 92.20
1 0.00219956 14548.4 261.871 581.935 91.94
2 0.00180191 17758.9 319.661 710.357 91.96
3 0.00169391 18891.2 340.041 755.647 91.20
4 0.00151826 21076.7 379.381 843.069 91.03
5 0.00156949 20388.8 366.998 815.55 90.35
6 0.0013352 23966.4 431.395 958.656 88.68
7 0.00129415 24726.6 445.08 989.066 85.82
8 0.00121307 26379.4 474.829 1055.18 81.70
9 0.00117367 27265 490.77 1090.6 78.83
10 0.00117071 27333.9 492.011 1093.36 77.14
11 0.00113417 28214.4 507.86 1128.58 74.46
